ProducerNumber,PremiumYear,PremiumMonth,ProductType,ProducerPriorExperienceYears,ProducerEducation,ProducerLOSMonths,ProducerAgeYears,ProducerRace,ProducerGender,ProducerMaritalStatus,ProducerRole,ProducerState,PolicyIssueState,PaymentFrequency,PolicyHolderAgeAtIssueYears,PolicyHolderGender,SalesOfficeAtIssue,SalesTerritory,PaymentYear,PaymentModeAtIssue,WrittenPremium,PolicyAnnualFee, CommissionAmount ,PerformanceCredit,CommissionablePremium
AGT416,2020,DEC,TERM LIFE,2,GRADUATE,19,18,WHITE,M,DIVORCED,ROLE2,MS,ID,MONTHLY,25,M,OFC71,T1,1,SPECIAL DIRECT PAY,3590.6,75,3304.66,3304.66,3515.6
AGT416,2020,DEC,OTHER LIFE,2,GRADUATE,19,18,WHITE,M,DIVORCED,ROLE2,MS,IN,MISC,2,U,OFC71,T1,1,SPECIAL DIRECT PAY,2039.4,75,157.15,157.15,1964.4
AGT416,2021,JAN,TERM LIFE,2,GRADUATE,20,19,WHITE,M,DIVORCED,ROLE2,MS,ID,MONTHLY,25,M,OFC71,T1,1,SPECIAL DIRECT PAY,3590.6,75,3304.66,3304.66,3515.6
AGT416,2021,JAN,OTHER LIFE,2,GRADUATE,20,19,WHITE,M,DIVORCED,ROLE2,MS,IN,MISC,2,U,OFC71,T1,1,SPECIAL DIRECT PAY,2039.4,75,157.15,157.15,1964.4
AGT416,2021,FEB,TERM LIFE,2,GRADUATE,21,19,WHITE,M,DIVORCED,ROLE2,MS,ID,MONTHLY,25,M,OFC71,T1,1,SPECIAL DIRECT PAY,3590.6,75,3304.66,3304.66,3515.6
AGT416,2021,FEB,OTHER LIFE,2,GRADUATE,21,19,WHITE,M,DIVORCED,ROLE2,MS,IN,MISC,2,U,OFC71,T1,1,SPECIAL DIRECT PAY,2039.4,75,157.15,157.15,1964.4
AGT416,2021,MAR,TERM LIFE,2,GRADUATE,22,19,WHITE,M,DIVORCED,ROLE2,MS,ID,MONTHLY,25,M,OFC71,T1,1,SPECIAL DIRECT PAY,3590.6,75,3304.66,3304.66,3515.6
AGT416,2021,MAR,OTHER LIFE,2,GRADUATE,22,19,WHITE,M,DIVORCED,ROLE2,MS,IN,MISC,2,U,OFC71,T1,1,SPECIAL DIRECT PAY,2039.4,75,157.15,157.15,1964.4
AGT417,2020,OCT,WHOLE LIFE,1,HIGH SCHOOL,0,29,HISPANIC,F,MARRIED,ROLE4,NC,CO,MONTHLY,66,M,OFC77,T4,1,PAID UP,5318.02,100,3861.33,1930.67,5218.02
AGT417,2020,OCT,FIXED PREMIUM ANNUITY,1,HIGH SCHOOL,0,29,HISPANIC,F,MARRIED,ROLE4,NC,WV,MONTHLY,32,M,OFC77,T4,1,PAID UP,4931.13,75,1214.03,631.3,4856.13
AGT417,2020,NOV,WHOLE LIFE,1,HIGH SCHOOL,1,29,HISPANIC,F,MARRIED,ROLE4,NC,CO,MONTHLY,66,M,OFC77,T4,1,PAID UP,5318.02,100,3861.33,1930.67,5218.02
AGT417,2020,NOV,FIXED PREMIUM ANNUITY,1,HIGH SCHOOL,1,29,HISPANIC,F,MARRIED,ROLE4,NC,WV,MONTHLY,32,M,OFC77,T4,1,PAID UP,4931.13,75,1214.03,631.3,4856.13
AGT417,2020,DEC,WHOLE LIFE,1,HIGH SCHOOL,2,29,HISPANIC,F,MARRIED,ROLE4,NC,CO,MONTHLY,66,M,OFC77,T4,1,PAID UP,5318.02,100,3861.33,1930.67,5218.02
AGT417,2020,DEC,FIXED PREMIUM ANNUITY,1,HIGH SCHOOL,2,29,HISPANIC,F,MARRIED,ROLE4,NC,WV,MONTHLY,32,M,OFC77,T4,1,PAID UP,4931.13,75,1214.03,631.3,4856.13
AGT417,2021,JAN,WHOLE LIFE,1,HIGH SCHOOL,3,29,HISPANIC,F,MARRIED,ROLE4,NC,CO,MONTHLY,66,M,OFC77,T4,1,PAID UP,5318.02,100,3861.33,1930.67,5218.02
AGT417,2021,JAN,FIXED PREMIUM ANNUITY,1,HIGH SCHOOL,3,29,HISPANIC,F,MARRIED,ROLE4,NC,WV,MONTHLY,32,M,OFC77,T4,1,PAID UP,4931.13,75,1214.03,631.3,4856.13
AGT417,2021,FEB,WHOLE LIFE,1,HIGH SCHOOL,4,29,HISPANIC,F,MARRIED,ROLE4,NC,CO,MONTHLY,66,M,OFC77,T4,1,PAID UP,5318.02,100,3861.33,1930.67,5218.02
AGT417,2021,FEB,FIXED PREMIUM ANNUITY,1,HIGH SCHOOL,4,29,HISPANIC,F,MARRIED,ROLE4,NC,WV,MONTHLY,32,M,OFC77,T4,1,PAID UP,4931.13,75,1214.03,631.3,4856.13
AGT417,2021,MAR,WHOLE LIFE,1,HIGH SCHOOL,5,29,HISPANIC,F,MARRIED,ROLE4,NC,CO,MONTHLY,66,M,OFC77,T4,1,PAID UP,5318.02,100,3861.33,1930.67,5218.02
AGT417,2021,MAR,FIXED PREMIUM ANNUITY,1,HIGH SCHOOL,5,29,HISPANIC,F,MARRIED,ROLE4,NC,WV,MONTHLY,32,M,OFC77,T4,1,PAID UP,4931.13,75,1214.03,631.3,4856.13
AGT418,2020,OCT,WHOLE LIFE,0,GRADUATE,13,23,HISPANIC,M,WIDOWED,ROLE2,HI,KY,ANNUAL,24,F,OFC29,T3,1,PAYMENT ADVANCE,6224.5,100,2694.78,1347.39,6124.5
AGT418,2020,OCT,VARIABLE PREMIUM ANNUITY,0,GRADUATE,13,23,HISPANIC,M,WIDOWED,ROLE2,HI,MI,ANNUAL,20,U,OFC29,T3,1,REGULAR DIRECT PAY,2967.69,75,1012.44,1012.44,2892.69
AGT418,2020,NOV,WHOLE LIFE,0,GRADUATE,14,23,HISPANIC,M,WIDOWED,ROLE2,HI,KY,ANNUAL,24,F,OFC29,T3,1,PAYMENT ADVANCE,6224.5,100,2694.78,1347.39,6124.5
AGT418,2020,NOV,VARIABLE PREMIUM ANNUITY,0,GRADUATE,14,23,HISPANIC,M,WIDOWED,ROLE2,HI,MI,ANNUAL,20,U,OFC29,T3,1,REGULAR DIRECT PAY,2967.69,75,1012.44,1012.44,2892.69
AGT418,2020,DEC,WHOLE LIFE,0,GRADUATE,15,23,HISPANIC,M,WIDOWED,ROLE2,HI,KY,ANNUAL,24,F,OFC29,T3,1,PAYMENT ADVANCE,6224.5,100,2694.78,1347.39,6124.5
AGT418,2020,DEC,VARIABLE PREMIUM ANNUITY,0,GRADUATE,15,23,HISPANIC,M,WIDOWED,ROLE2,HI,MI,ANNUAL,20,U,OFC29,T3,1,REGULAR DIRECT PAY,2967.69,75,1012.44,1012.44,2892.69
AGT418,2021,JAN,WHOLE LIFE,0,GRADUATE,16,23,HISPANIC,M,WIDOWED,ROLE2,HI,KY,ANNUAL,24,F,OFC29,T3,1,PAYMENT ADVANCE,6224.5,100,2694.78,1347.39,6124.5
AGT418,2021,JAN,VARIABLE PREMIUM ANNUITY,0,GRADUATE,16,23,HISPANIC,M,WIDOWED,ROLE2,HI,MI,ANNUAL,20,U,OFC29,T3,1,REGULAR DIRECT PAY,2967.69,75,1012.44,1012.44,2892.69
AGT418,2021,FEB,WHOLE LIFE,0,GRADUATE,17,23,HISPANIC,M,WIDOWED,ROLE2,HI,KY,ANNUAL,24,F,OFC29,T3,1,PAYMENT ADVANCE,6224.5,100,2694.78,1347.39,6124.5
AGT418,2021,FEB,VARIABLE PREMIUM ANNUITY,0,GRADUATE,17,23,HISPANIC,M,WIDOWED,ROLE2,HI,MI,ANNUAL,20,U,OFC29,T3,1,REGULAR DIRECT PAY,2967.69,75,1012.44,1012.44,2892.69
AGT418,2021,MAR,WHOLE LIFE,0,GRADUATE,18,23,HISPANIC,M,WIDOWED,ROLE2,HI,KY,ANNUAL,24,F,OFC29,T3,1,PAYMENT ADVANCE,6224.5,100,2694.78,1347.39,6124.5
AGT418,2021,MAR,VARIABLE PREMIUM ANNUITY,0,GRADUATE,18,23,HISPANIC,M,WIDOWED,ROLE2,HI,MI,ANNUAL,20,U,OFC29,T3,1,REGULAR DIRECT PAY,2967.69,75,1012.44,1012.44,2892.69
AGT419,2020,OCT,TRADITIONAL LIFE,10,GRADUATE,28,19,BLACK,F,SINGLE,ROLE2,OK,NV,QUARTERLY,49,M,OFC78,T3,1,PAYMENT ADVANCE,6989.91,100,5787.52,2893.76,6889.91
AGT419,2020,OCT,VARIABLE PREMIUM ANNUITY,10,GRADUATE,28,19,BLACK,F,SINGLE,ROLE2,OK,SC,MONTHLY,1,F,OFC78,T3,1,PAYMENT ADVANCE,3444.86,75,1752.33,876.16,3369.86
AGT419,2020,NOV,TRADITIONAL LIFE,10,GRADUATE,29,19,BLACK,F,SINGLE,ROLE2,OK,NV,QUARTERLY,49,M,OFC78,T3,1,PAYMENT ADVANCE,6989.91,100,5787.52,2893.76,6889.91
AGT419,2020,NOV,VARIABLE PREMIUM ANNUITY,10,GRADUATE,29,19,BLACK,F,SINGLE,ROLE2,OK,SC,MONTHLY,1,F,OFC78,T3,1,PAYMENT ADVANCE,3444.86,75,1752.33,876.16,3369.86
AGT419,2020,DEC,TRADITIONAL LIFE,10,GRADUATE,30,19,BLACK,F,SINGLE,ROLE2,OK,NV,QUARTERLY,49,M,OFC78,T3,1,PAYMENT ADVANCE,6989.91,100,5787.52,2893.76,6889.91
AGT419,2020,DEC,VARIABLE PREMIUM ANNUITY,10,GRADUATE,30,19,BLACK,F,SINGLE,ROLE2,OK,SC,MONTHLY,1,F,OFC78,T3,1,PAYMENT ADVANCE,3444.86,75,1752.33,876.16,3369.86
AGT419,2021,JAN,TRADITIONAL LIFE,10,GRADUATE,31,19,BLACK,F,SINGLE,ROLE2,OK,NV,QUARTERLY,49,M,OFC78,T3,1,PAYMENT ADVANCE,6989.91,100,5787.52,2893.76,6889.91
AGT419,2021,JAN,VARIABLE PREMIUM ANNUITY,10,GRADUATE,31,19,BLACK,F,SINGLE,ROLE2,OK,SC,MONTHLY,1,F,OFC78,T3,1,PAYMENT ADVANCE,3444.86,75,1752.33,876.16,3369.86
AGT419,2021,FEB,TRADITIONAL LIFE,10,GRADUATE,32,19,BLACK,F,SINGLE,ROLE2,OK,NV,QUARTERLY,49,M,OFC78,T3,1,PAYMENT ADVANCE,6989.91,100,5787.52,2893.76,6889.91
AGT419,2021,FEB,VARIABLE PREMIUM ANNUITY,10,GRADUATE,32,19,BLACK,F,SINGLE,ROLE2,OK,SC,MONTHLY,1,F,OFC78,T3,1,PAYMENT ADVANCE,3444.86,75,1752.33,876.16,3369.86
AGT419,2021,MAR,TRADITIONAL LIFE,10,GRADUATE,33,19,BLACK,F,SINGLE,ROLE2,OK,NV,QUARTERLY,49,M,OFC78,T3,1,PAYMENT ADVANCE,6989.91,100,5787.52,2893.76,6889.91
AGT419,2021,MAR,VARIABLE PREMIUM ANNUITY,10,GRADUATE,33,19,BLACK,F,SINGLE,ROLE2,OK,SC,MONTHLY,1,F,OFC78,T3,1,PAYMENT ADVANCE,3444.86,75,1752.33,876.16,3369.86
AGT42,2020,OCT,TRADITIONAL LIFE,6,POST GRADUATE,28,18,WHITE,U,SINGLE,ROLE4,NC,KY,SEMI ANNUAL,13,U,OFC6,T1,1,SPECIAL DIRECT PAY,4900.93,75,3474.67,3474.67,4825.93
AGT42,2020,OCT,VARIABLE PREMIUM ANNUITY,6,POST GRADUATE,28,18,WHITE,U,SINGLE,ROLE4,NC,ME,SEMI ANNUAL,32,F,OFC6,T1,1,PAID UP,6175.16,100,1883.3,972.03,6075.16
AGT42,2020,NOV,TRADITIONAL LIFE,6,POST GRADUATE,29,18,WHITE,U,SINGLE,ROLE4,NC,KY,SEMI ANNUAL,13,U,OFC6,T1,1,SPECIAL DIRECT PAY,4900.93,75,3474.67,3474.67,4825.93
AGT42,2020,NOV,VARIABLE PREMIUM ANNUITY,6,POST GRADUATE,29,18,WHITE,U,SINGLE,ROLE4,NC,ME,SEMI ANNUAL,32,F,OFC6,T1,1,PAID UP,6175.16,100,1883.3,972.03,6075.16
AGT42,2020,DEC,TRADITIONAL LIFE,6,POST GRADUATE,30,18,WHITE,U,SINGLE,ROLE4,NC,KY,SEMI ANNUAL,13,U,OFC6,T1,1,SPECIAL DIRECT PAY,4900.93,75,3474.67,3474.67,4825.93
AGT42,2020,DEC,VARIABLE PREMIUM ANNUITY,6,POST GRADUATE,30,18,WHITE,U,SINGLE,ROLE4,NC,ME,SEMI ANNUAL,32,F,OFC6,T1,1,PAID UP,6175.16,100,1883.3,972.03,6075.16
AGT42,2021,JAN,TRADITIONAL LIFE,6,POST GRADUATE,31,18,WHITE,U,SINGLE,ROLE4,NC,KY,SEMI ANNUAL,13,U,OFC6,T1,1,SPECIAL DIRECT PAY,4900.93,75,3474.67,3474.67,4825.93
AGT42,2021,JAN,VARIABLE PREMIUM ANNUITY,6,POST GRADUATE,31,18,WHITE,U,SINGLE,ROLE4,NC,ME,SEMI ANNUAL,32,F,OFC6,T1,1,PAID UP,6175.16,100,1883.3,972.03,6075.16
AGT42,2021,FEB,TRADITIONAL LIFE,6,POST GRADUATE,32,18,WHITE,U,SINGLE,ROLE4,NC,KY,SEMI ANNUAL,13,U,OFC6,T1,1,SPECIAL DIRECT PAY,4900.93,75,3474.67,3474.67,4825.93
AGT42,2021,FEB,VARIABLE PREMIUM ANNUITY,6,POST GRADUATE,32,18,WHITE,U,SINGLE,ROLE4,NC,ME,SEMI ANNUAL,32,F,OFC6,T1,1,PAID UP,6175.16,100,1883.3,972.03,6075.16
AGT42,2021,MAR,TRADITIONAL LIFE,6,POST GRADUATE,33,18,WHITE,U,SINGLE,ROLE4,NC,KY,SEMI ANNUAL,13,U,OFC6,T1,1,SPECIAL DIRECT PAY,4900.93,75,3474.67,3474.67,4825.93
AGT42,2021,MAR,VARIABLE PREMIUM ANNUITY,6,POST GRADUATE,33,18,WHITE,U,SINGLE,ROLE4,NC,ME,SEMI ANNUAL,32,F,OFC6,T1,1,PAID UP,6175.16,100,1883.3,972.03,6075.16
AGT420,2020,OCT,TRADITIONAL LIFE,3,POST GRADUATE,15,18,HISPANIC,U,MARRIED,ROLE2,AZ,NJ,QUARTERLY,42,M,OFC34,T1,1,PAYMENT ADVANCE,1495.36,75,1193.1,596.55,1420.36
AGT420,2020,OCT,FIXED PREMIUM ANNUITY,3,POST GRADUATE,15,18,HISPANIC,U,MARRIED,ROLE2,AZ,NC,ANNUAL,55,U,OFC34,T1,1,PAID UP,2822.54,75,686.89,357.18,2747.54
AGT420,2020,NOV,TRADITIONAL LIFE,3,POST GRADUATE,16,18,HISPANIC,U,MARRIED,ROLE2,AZ,NJ,QUARTERLY,42,M,OFC34,T1,1,PAYMENT ADVANCE,1495.36,75,1193.1,596.55,1420.36
AGT420,2020,NOV,FIXED PREMIUM ANNUITY,3,POST GRADUATE,16,18,HISPANIC,U,MARRIED,ROLE2,AZ,NC,ANNUAL,55,U,OFC34,T1,1,PAID UP,2822.54,75,686.89,357.18,2747.54
AGT420,2020,DEC,TRADITIONAL LIFE,3,POST GRADUATE,17,18,HISPANIC,U,MARRIED,ROLE2,AZ,NJ,QUARTERLY,42,M,OFC34,T1,1,PAYMENT ADVANCE,1495.36,75,1193.1,596.55,1420.36
AGT420,2020,DEC,FIXED PREMIUM ANNUITY,3,POST GRADUATE,17,18,HISPANIC,U,MARRIED,ROLE2,AZ,NC,ANNUAL,55,U,OFC34,T1,1,PAID UP,2822.54,75,686.89,357.18,2747.54
AGT420,2021,JAN,TRADITIONAL LIFE,3,POST GRADUATE,18,18,HISPANIC,U,MARRIED,ROLE2,AZ,NJ,QUARTERLY,42,M,OFC34,T1,1,PAYMENT ADVANCE,1495.36,75,1193.1,596.55,1420.36
AGT420,2021,JAN,FIXED PREMIUM ANNUITY,3,POST GRADUATE,18,18,HISPANIC,U,MARRIED,ROLE2,AZ,NC,ANNUAL,55,U,OFC34,T1,1,PAID UP,2822.54,75,686.89,357.18,2747.54
AGT420,2021,FEB,TRADITIONAL LIFE,3,POST GRADUATE,19,18,HISPANIC,U,MARRIED,ROLE2,AZ,NJ,QUARTERLY,42,M,OFC34,T1,1,PAYMENT ADVANCE,1495.36,75,1193.1,596.55,1420.36
AGT420,2021,FEB,FIXED PREMIUM ANNUITY,3,POST GRADUATE,19,18,HISPANIC,U,MARRIED,ROLE2,AZ,NC,ANNUAL,55,U,OFC34,T1,1,PAID UP,2822.54,75,686.89,357.18,2747.54
AGT420,2021,MAR,TRADITIONAL LIFE,3,POST GRADUATE,20,18,HISPANIC,U,MARRIED,ROLE2,AZ,NJ,QUARTERLY,42,M,OFC34,T1,1,PAYMENT ADVANCE,1495.36,75,1193.1,596.55,1420.36
AGT420,2021,MAR,FIXED PREMIUM ANNUITY,3,POST GRADUATE,20,18,HISPANIC,U,MARRIED,ROLE2,AZ,NC,ANNUAL,55,U,OFC34,T1,1,PAID UP,2822.54,75,686.89,357.18,2747.54
AGT421,2020,OCT,TERM LIFE,7,POST GRADUATE,9,27,APAC,U,DIVORCED,ROLE1,FL,MI,MONTHLY,35,F,OFC73,T2,1,SPECIAL DIRECT PAY,727.51,50,33.88,33.88,677.51
AGT421,2020,OCT,OTHER LIFE,7,POST GRADUATE,9,27,APAC,U,DIVORCED,ROLE1,FL,PA,QUARTERLY,62,U,OFC73,T2,1,SPECIAL DIRECT PAY,4234.36,75,207.97,207.97,4159.36
AGT421,2020,NOV,TERM LIFE,7,POST GRADUATE,10,27,APAC,U,DIVORCED,ROLE1,FL,MI,MONTHLY,35,F,OFC73,T2,1,SPECIAL DIRECT PAY,727.51,50,33.88,33.88,677.51
AGT421,2020,NOV,OTHER LIFE,7,POST GRADUATE,10,27,APAC,U,DIVORCED,ROLE1,FL,PA,QUARTERLY,62,U,OFC73,T2,1,SPECIAL DIRECT PAY,4234.36,75,207.97,207.97,4159.36
AGT421,2020,DEC,TERM LIFE,7,POST GRADUATE,11,27,APAC,U,DIVORCED,ROLE1,FL,MI,MONTHLY,35,F,OFC73,T2,1,SPECIAL DIRECT PAY,727.51,50,33.88,33.88,677.51
AGT421,2020,DEC,OTHER LIFE,7,POST GRADUATE,11,27,APAC,U,DIVORCED,ROLE1,FL,PA,QUARTERLY,62,U,OFC73,T2,1,SPECIAL DIRECT PAY,4234.36,75,207.97,207.97,4159.36
AGT421,2021,JAN,TERM LIFE,7,POST GRADUATE,12,27,APAC,U,DIVORCED,ROLE1,FL,MI,MONTHLY,35,F,OFC73,T2,1,SPECIAL DIRECT PAY,727.51,50,33.88,33.88,677.51
AGT421,2021,JAN,OTHER LIFE,7,POST GRADUATE,12,27,APAC,U,DIVORCED,ROLE1,FL,PA,QUARTERLY,62,U,OFC73,T2,1,SPECIAL DIRECT PAY,4234.36,75,207.97,207.97,4159.36
AGT421,2021,FEB,TERM LIFE,7,POST GRADUATE,13,27,APAC,U,DIVORCED,ROLE1,FL,MI,MONTHLY,35,F,OFC73,T2,1,SPECIAL DIRECT PAY,727.51,50,636.86,636.86,677.51
AGT421,2021,FEB,OTHER LIFE,7,POST GRADUATE,13,27,APAC,U,DIVORCED,ROLE1,FL,PA,QUARTERLY,62,U,OFC73,T2,1,SPECIAL DIRECT PAY,4234.36,75,2745.18,2745.18,4159.36
AGT421,2021,MAR,TERM LIFE,7,POST GRADUATE,14,27,APAC,U,DIVORCED,ROLE1,FL,MI,MONTHLY,35,F,OFC73,T2,1,SPECIAL DIRECT PAY,727.51,50,636.86,636.86,677.51
AGT421,2021,MAR,OTHER LIFE,7,POST GRADUATE,14,27,APAC,U,DIVORCED,ROLE1,FL,PA,QUARTERLY,62,U,OFC73,T2,1,SPECIAL DIRECT PAY,4234.36,75,2745.18,2745.18,4159.36
AGT422,2020,OCT,WHOLE LIFE,1,GRADUATE,32,25,WHITE,F,WIDOWED,ROLE1,KY,WA,SEMI ANNUAL,34,U,OFC46,T4,1,SPECIAL DIRECT PAY,5814.21,100,5314.22,5314.22,5714.21
AGT422,2020,OCT,FIXED PREMIUM ANNUITY,1,GRADUATE,32,25,WHITE,F,WIDOWED,ROLE1,KY,CT,QUARTERLY,64,U,OFC46,T4,1,REGULAR DIRECT PAY,6179.41,100,1580.65,1580.65,6079.41
AGT422,2020,NOV,WHOLE LIFE,1,GRADUATE,33,25,WHITE,F,WIDOWED,ROLE1,KY,WA,SEMI ANNUAL,34,U,OFC46,T4,1,SPECIAL DIRECT PAY,5814.21,100,5314.22,5314.22,5714.21
AGT422,2020,NOV,FIXED PREMIUM ANNUITY,1,GRADUATE,33,25,WHITE,F,WIDOWED,ROLE1,KY,CT,QUARTERLY,64,U,OFC46,T4,1,REGULAR DIRECT PAY,6179.41,100,1580.65,1580.65,6079.41
AGT422,2020,DEC,WHOLE LIFE,1,GRADUATE,34,25,WHITE,F,WIDOWED,ROLE1,KY,WA,SEMI ANNUAL,34,U,OFC46,T4,1,SPECIAL DIRECT PAY,5814.21,100,5314.22,5314.22,5714.21
AGT422,2020,DEC,FIXED PREMIUM ANNUITY,1,GRADUATE,34,25,WHITE,F,WIDOWED,ROLE1,KY,CT,QUARTERLY,64,U,OFC46,T4,1,REGULAR DIRECT PAY,6179.41,100,1580.65,1580.65,6079.41
AGT422,2021,JAN,WHOLE LIFE,1,GRADUATE,35,26,WHITE,F,WIDOWED,ROLE1,KY,WA,SEMI ANNUAL,34,U,OFC46,T4,1,SPECIAL DIRECT PAY,5814.21,100,5314.22,5314.22,5714.21
AGT422,2021,JAN,FIXED PREMIUM ANNUITY,1,GRADUATE,35,26,WHITE,F,WIDOWED,ROLE1,KY,CT,QUARTERLY,64,U,OFC46,T4,1,REGULAR DIRECT PAY,6179.41,100,1580.65,1580.65,6079.41
AGT422,2021,FEB,WHOLE LIFE,1,GRADUATE,36,26,WHITE,F,WIDOWED,ROLE1,KY,WA,SEMI ANNUAL,34,U,OFC46,T4,1,SPECIAL DIRECT PAY,5814.21,100,5314.22,5314.22,5714.21
AGT422,2021,FEB,FIXED PREMIUM ANNUITY,1,GRADUATE,36,26,WHITE,F,WIDOWED,ROLE1,KY,CT,QUARTERLY,64,U,OFC46,T4,1,REGULAR DIRECT PAY,6179.41,100,1580.65,1580.65,6079.41
AGT422,2021,MAR,WHOLE LIFE,1,GRADUATE,37,26,WHITE,F,WIDOWED,ROLE1,KY,WA,SEMI ANNUAL,34,U,OFC46,T4,1,SPECIAL DIRECT PAY,5814.21,100,5314.22,5314.22,5714.21
AGT422,2021,MAR,FIXED PREMIUM ANNUITY,1,GRADUATE,37,26,WHITE,F,WIDOWED,ROLE1,KY,CT,QUARTERLY,64,U,OFC46,T4,1,REGULAR DIRECT PAY,6179.41,100,1580.65,1580.65,6079.41
AGT423,2020,OCT,TRADITIONAL LIFE,6,POST GRADUATE,30,25,WHITE,M,,ROLE2,GA,MS,MONTHLY,20,F,OFC17,T4,1,SPECIAL DIRECT PAY,1606.93,75,1102.99,1102.99,1531.93
AGT423,2020,OCT,VARIABLE PREMIUM ANNUITY,6,POST GRADUATE,30,25,WHITE,M,,ROLE2,GA,GA,QUARTERLY,2,U,OFC17,T4,1,PAYMENT ADVANCE,9922.02,100,3830.59,1964.4,9822.02
AGT423,2020,NOV,TRADITIONAL LIFE,6,POST GRADUATE,31,25,WHITE,M,,ROLE2,GA,MS,MONTHLY,20,F,OFC17,T4,1,SPECIAL DIRECT PAY,1606.93,75,1102.99,1102.99,1531.93
AGT423,2020,NOV,VARIABLE PREMIUM ANNUITY,6,POST GRADUATE,31,25,WHITE,M,,ROLE2,GA,GA,QUARTERLY,2,U,OFC17,T4,1,PAYMENT ADVANCE,9922.02,100,3830.59,1964.4,9822.02
AGT423,2020,DEC,TRADITIONAL LIFE,6,POST GRADUATE,32,26,WHITE,M,,ROLE2,GA,MS,MONTHLY,20,F,OFC17,T4,1,SPECIAL DIRECT PAY,1606.93,75,1102.99,1102.99,1531.93
AGT423,2020,DEC,VARIABLE PREMIUM ANNUITY,6,POST GRADUATE,32,26,WHITE,M,,ROLE2,GA,GA,QUARTERLY,2,U,OFC17,T4,1,PAYMENT ADVANCE,9922.02,100,3830.59,1964.4,9822.02
AGT423,2021,JAN,TRADITIONAL LIFE,6,POST GRADUATE,33,26,WHITE,M,,ROLE2,GA,MS,MONTHLY,20,F,OFC17,T4,1,SPECIAL DIRECT PAY,1606.93,75,1102.99,1102.99,1531.93
AGT423,2021,JAN,VARIABLE PREMIUM ANNUITY,6,POST GRADUATE,33,26,WHITE,M,,ROLE2,GA,GA,QUARTERLY,2,U,OFC17,T4,1,PAYMENT ADVANCE,9922.02,100,3830.59,1964.4,9822.02
AGT423,2021,FEB,TRADITIONAL LIFE,6,POST GRADUATE,34,26,WHITE,M,,ROLE2,GA,MS,MONTHLY,20,F,OFC17,T4,1,SPECIAL DIRECT PAY,1606.93,75,1102.99,1102.99,1531.93
a,a,s,d,s,a,g,d,h,s,a,g,d,g,a,s,d
